Table of Neighbors:
At distance k = 1

i = 22;  35  24  13  7  0  5  9  14  25  31  2  3  
i = 23;  30  25  14  8  1  0  10  15  26  32  3  4  
i = 24;  1  32  21  15  8  7  17  22  33  3  10  11  
i = 25;  2  33  22  16  9  8  12  23  34  4  11  6  
i = 26;  3  34  23  17  10  9  13  18  35  5  6  7  
i = 27;  4  35  18  12  11  10  14  19  30  0  7  8  
i = 28;  5  30  19  13  6  11  15  20  31  1  8  9  
i = 29;  0  31  20  14  7  6  16  21  32  2  9  10  
i = 30;  7  2  27  21  14  13  23  28  3  9  16  17  
i = 31;  8  3  28  22  15  14  18  29  4  10  17  12  
i = 32;  9  4  29  23  16  15  19  24  5  11  12  13  
i = 33;  10  5  24  18  17  16  20  25  0  6  13  14  
i = 34;  11  0  25  19  12  17  21  26  1  7  14  15  
i = 35;  6  1  26  20  13  12  22  27  2  8  15  16  
At distance k = 5

i = 0;  18  3  21  
i = 1;  19  4  22  
i = 2;  20  5  23  
i = 3;  21  0  18  
i = 4;  22  1  19  
i = 5;  23  2  20  
i = 6;  24  9  27  
i = 7;  25  10  28  
i = 8;  26  11  29  
i = 9;  27  6  24  
i = 10;  28  7  25  
i = 11;  29  8  26  
i = 12;  30  15  33  
i = 13;  31  16  34  
i = 14;  32  17  35  
i = 15;  33  12  30  
i = 16;  34  13  31  
i = 17;  35  14  32  
i = 18;  21  3  0  
i = 19;  22  4  1  
i = 20;  23  5  2  
i = 21;  0  3  18  
i = 22;  1  4  19  
i = 23;  5  20  2  
i = 24;  27  9  6  
i = 25;  28  10  7  
i = 26;  29  11  8  
i = 27;  6  9  24  
i = 28;  7  10  25  
i = 29;  11  26  8  
i = 30;  33  15  12  
i = 31;  34  16  13  
i = 32;  35  17  14  
i = 33;  12  15  30  
i = 34;  13  16  31  
i = 35;  17  32  14  
At distance k = 6

i = 0;  14  28  
i = 1;  15  29  
i = 2;  16  24  
i = 3;  17  25  
i = 4;  12  26  
i = 5;  13  27  
i = 6;  20  34  
i = 7;  21  35  
i = 8;  22  30  
i = 9;  23  31  
i = 10;  18  32  
i = 11;  19  33  
i = 12;  26  4  
i = 13;  27  5  
i = 14;  28  0  
i = 15;  29  1  
i = 16;  2  24  
i = 17;  3  25  
i = 18;  32  10  
i = 19;  33  11  
i = 20;  34  6  
i = 21;  35  7  
i = 22;  8  30  
i = 23;  9  31  
i = 24;  16  2  
i = 25;  17  3  
i = 26;  4  12  
i = 27;  5  13  
i = 28;  14  0  
i = 29;  15  1  
i = 30;  22  8  
i = 31;  23  9  
i = 32;  10  18  
i = 33;  11  19  
i = 34;  20  6  
i = 35;  21  7  
